rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
60,0.5920853564207601,0.06270121180023168,0.05,5,7,1.0,1.0
61,0.5920078803368846,0.035487276133984294,0.2,7,31,0.0,0.1
62,0.5919518577094605,0.059258682430170025,0.1,5,15,1.0,1.0
63,0.5919306195436119,0.06293758757362661,0.1,5,7,0.0,0.1
64,0.5908565526715053,0.049223184751164,0.2,7,15,0.1,0.1
65,0.5906320806716936,0.06704610047507835,0.1,5,7,0.0,1.0
66,0.590351245532217,0.06265523115620342,0.05,3,31,0.1,0.1
66,0.590351245532217,0.06265523115620342,0.05,3,15,0.1,0.1
68,0.5903083297203189,0.08457042738975178,0.1,7,7,0.1,0.1
69,0.5901688072991123,0.04901075199259444,0.1,7,15,0.1,0.1
70,0.5898588923445247,0.07639004504739953,0.2,3,7,0.1,1.0
71,0.5897920258904888,0.0634472712055815,0.05,3,31,0.0,1.0
71,0.5897920258904888,0.0634472712055815,0.05,3,15,0.0,1.0
73,0.5896795564842572,0.05412311163504393,0.2,7,31,0.1,1.0
74,0.5895288169438178,0.049372630989980695,0.1,7,31,0.0,0.1
75,0.5895143990118262,0.06779825664374987,0.05,3,7,0.1,0.1
76,0.589425222607599,0.06265048846629699,0.05,7,7,0.0,1.0
77,0.5893057615395528,0.04558833693239386,0.05,5,31,0.1,0.1
78,0.5890367115687656,0.044991786997788503,0.1,5,31,0.0,0.1
79,0.5889714254899715,0.07051266692754446,0.05,3,7,0.0,0.0
80,0.5889359229368052,0.04379621065842085,0.1,7,15,1.0,0.0
81,0.5888841646679933,0.07110213718758761,0.05,3,7,1.0,1.0
82,0.5888731346109309,0.08136040166668497,0.1,3,15,1.0,0.1
82,0.5888731346109309,0.08136040166668497,0.1,3,31,1.0,0.1
84,0.5887926644096132,0.057831011711889244,0.2,5,15,1.0,0.1
85,0.5887200786900175,0.044597044858388044,0.1,5,15,1.0,0.1
86,0.5885978329483385,0.05952328653048197,0.1,5,7,0.1,1.0
87,0.5885655619813113,0.0606852607682064,0.05,5,7,1.0,0.1
88,0.5885105003895893,0.0641394691452032,0.05,3,15,0.1,1.0
88,0.5885105003895893,0.0641394691452032,0.05,3,31,0.1,1.0
90,0.5884078975335362,0.06217895996514764,0.05,7,7,1.0,0.1
91,0.5883731758846795,0.05289897200074828,0.05,7,15,0.1,0.1
92,0.5882349185682465,0.07323005459576856,0.1,3,7,1.0,0.1
93,0.5881568033844421,0.06409496290117986,0.05,3,7,0.0,1.0
94,0.5879755366902357,0.062253423024101945,0.05,7,7,0.1,0.0
95,0.5878567158912812,0.043445232953421765,0.2,5,15,1.0,1.0
96,0.587819484321112,0.059753343315104096,0.2,5,15,1.0,0.0
97,0.587787294419853,0.04914148207016762,0.1,5,31,1.0,1.0
98,0.5876239057869623,0.0457105914527265,0.1,5,7,0.1,0.0
99,0.5875752883279584,0.07799973964675176,0.2,5,7,0.0,1.0
100,0.5875095047056401,0.06912157470872651,0.1,7,31,0.1,0.0
101,0.5873448808995361,0.06755047247575839,0.05,3,7,0.0,0.1
